2026-03-24 05:34:46 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:34:46 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Philip Morris International Inc risk insider selling lawsuit litigation' 成功，返回 6 条结果，耗时 1.17s
2026-03-24 05:34:46 | INFO     | src/search_service.py:1720 | [新闻过滤] PM:Bocha:risk_check: provider=Bocha, total=6, kept=0, drop_unknown=0, drop_old=6, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:34:46 | INFO     | src/search_service.py:2012 | [情报搜索] 风险排查: 原始=6条, 过滤后=0条
2026-03-24 05:34:47 | INFO     | src/search_service.py:1995 | [情报搜索] 业绩预期: 使用 Tavily
2026-03-24 05:34:48 | INFO     | src/search_service.py:299 | [Tavily] 搜索完成，query='Philip Morris International Inc earnings revenue profit growth forecast', 返回 6 条结果
2026-03-24 05:34:48 | INFO     | src/search_service.py:237 | [Tavily] 搜索 'Philip Morris International Inc earnings revenue profit growth forecast' 成功，返回 6 条结果，耗时 1.51s
2026-03-24 05:34:48 | INFO     | src/search_service.py:1720 | [新闻过滤] PM:Tavily:earnings: provider=Tavily, total=6, kept=0, drop_unknown=6, drop_old=0, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:34:48 | INFO     | src/search_service.py:2012 | [情报搜索] 业绩预期: 原始=6条, 过滤后=0条
2026-03-24 05:34:49 | INFO     | src/search_service.py:1995 | [情报搜索] 行业分析: 使用 Bocha
2026-03-24 05:34:50 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Philip Morris International Inc industry competitors market share outlook'
2026-03-24 05:34:50 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:34:50 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Philip Morris International Inc industry competitors market share outlook' 成功，返回 6 条结果，耗时 1.17s
2026-03-24 05:34:50 | INFO     | src/search_service.py:1720 | [新闻过滤] PM:Bocha:industry: provider=Bocha, total=6, kept=2, drop_unknown=0, drop_old=4, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:34:50 | INFO     | src/search_service.py:2012 | [情报搜索] 行业分析: 原始=6条, 过滤后=2条
2026-03-24 05:34:50 | INFO     | src/core/pipeline.py:320 | Philip Morris International Inc(PM) 情报搜索完成: 共 3 条结果
2026-03-24 05:34:50 | INFO     | src/storage.py:922 | 保存新闻情报成功: PM, 新增 1 条
2026-03-24 05:34:50 | INFO     | src/storage.py:922 | 保存新闻情报成功: PM, 新增 2 条
2026-03-24 05:34:52 | INFO     | src/analyzer.py:952 | ========== AI 分析 Philip Morris International Inc(PM) ==========
2026-03-24 05:34:52 | INFO     | src/analyzer.py:953 | [LLM配置] 模型: gemini/gemini-3-flash-preview
2026-03-24 05:34:52 | INFO     | src/analyzer.py:954 | [LLM配置] Prompt 长度: 3329 字符
2026-03-24 05:34:52 | INFO     | src/analyzer.py:955 | [LLM配置] 是否包含新闻: 是
2026-03-24 05:34:52 | INFO     | src/analyzer.py:959 | [LLM Prompt 预览]
# 决策仪表盘分析请求

## 📊 股票基础信息
| 项目 | 数据 |
|------|------|
| 股票代码 | **PM** |
| 股票名称 | **Philip Morris International Inc** |
| 分析日期 | 2026-03-24 |

---

## 📈 技术面数据

### 今日行情
| 指标 | 数值 |
|------|------|
| 收盘价 | 163.24000549316406 元 |
| 开盘价 | 164.16000366210938 元 |
| 最高价 | 164.9600067138672 元 |
| 最低价 | 162.44000244140625 元 |
| 涨跌幅 | -0.16% |
| 成交量 | 268.99 万股 |
| 成交额 | 4.39 亿元 |

### 均线系统（关键判断指标）
| 均线 | 数值 | 说明 |
|------|------|------|
| MA5 | 163.5260009765625 | 短期趋势线 |
| MA10 | 167.11209411621093 | 中短期...
2026-03-24 05:34:52 | INFO     | src/analyzer.py:968 | [LLM调用] 开始调用 gemini/gemini-3-flash-preview...
2026-03-24 05:34:52 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/utils.py:3995 | 
LiteLLM completion() model= gemini-3-flash-preview; provider = gemini
2026-03-24 05:34:52 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/llms/vertex_ai/gemini/vertex_and_google_ai_studio_gemini.py:1009 | Warning: Setting temperature < 1.0 for Gemini 3 models (gemini-3-flash-preview) can cause infinite loops, degraded reasoning performance, and failure on complex tasks. Strongly recommended to use temperature = 1.0 (default).
2026-03-24 05:35:15 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/utils.py:1656 | Wrapper: Completed Call, calling success_handler
2026-03-24 05:35:15 | INFO     | src/analyzer.py:981 | [LLM返回] gemini/gemini-3-flash-preview 响应成功, 耗时 22.35s, 响应长度 3863 字符
2026-03-24 05:35:15 | INFO     | src/analyzer.py:985 | [LLM返回 预览]
```json
{
    "stock_name": "菲利普·莫里斯国际 (PM)",
    "sentiment_score": 25,
    "trend_prediction": "强烈看空",
    "operation_advice": "观望",
    "decision_type": "sell",
    "confidence_level": "高",

    "dashboard": {
        "core_conclusion": {
            "one_sentence": "均线呈标准空头排列，价格处于下降通道，坚决不抄底，持币观望...
2026-03-24 05:35:15 | INFO     | src/analyzer.py:1025 | [LLM解析] Philip Morris International Inc(PM) 分析完成: 强烈看空, 评分 25
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:1051 | [PM] 分析完成: 观望, 评分 25
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:1027 | ========== 开始处理 ENB ==========
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:158 | 恩桥(ENB) 开始从数据源获取数据...
2026-03-24 05:35:15 | INFO     | data_provider/base.py:758 | [数据源尝试 2/6] [YfinanceFetcher] 美股/美股指数 ENB 直接路由...
2026-03-24 05:35:15 | INFO     | data_provider/base.py:357 | [YfinanceFetcher] 开始获取 ENB 日线数据: 范围=2026-01-23 ~ 2026-03-24
2026-03-24 05:35:15 | INFO     | data_provider/base.py:376 | [YfinanceFetcher] ENB 获取成功: 范围=2026-01-23 ~ 2026-03-24, rows=41, elapsed=0.22s
2026-03-24 05:35:15 | INFO     | data_provider/base.py:770 | [数据源完成] ENB 使用 [YfinanceFetcher] 获取成功: rows=41, elapsed=0.22s
2026-03-24 05:35:15 | INFO     | src/storage.py:1387 | 保存 ENB 数据成功，新增 41 条
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:166 | 恩桥(ENB) 数据保存成功（来源: YfinanceFetcher，新增 41 条）
2026-03-24 05:35:15 | INFO     | data_provider/yfinance_fetcher.py:727 | [Yfinance] 获取美股 ENB 实时行情成功: 价格=54.15999984741211
2026-03-24 05:35:15 | INFO     | data_provider/base.py:970 | [实时行情] 美股 ENB 成功获取 (来源: yfinance)
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:210 | Enbridge Inc(ENB) 实时行情: 价格=54.15999984741211, 量比=None, 换手率=None% (来源: fallback)
2026-03-24 05:35:15 | WARNING  | data_provider/tushare_fetcher.py:1055 | [Tushare] TushareFetcher 不支持美股 ENB 的筹码分布
2026-03-24 05:35:15 | WARNING  | data_provider/base.py:1182 | [筹码分布] ENB 所有数据源均失败
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:284 | Enbridge Inc(ENB) 趋势分析: 弱势空头, 买入信号=持有, 评分=59
2026-03-24 05:35:15 | INFO     | src/core/pipeline.py:305 | Enbridge Inc(ENB) 开始多维度情报搜索...
2026-03-24 05:35:15 | INFO     | src/search_service.py:1966 | 开始多维度情报搜索: Enbridge Inc(ENB), 时间范围: 近3天 (profile=short, NEWS_MAX_AGE_DAYS=60), 目标条数=3, provider请求条数=6
2026-03-24 05:35:15 | INFO     | src/search_service.py:1995 | [情报搜索] 最新消息: 使用 Bocha
2026-03-24 05:35:17 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Enbridge Inc ENB latest news events'
2026-03-24 05:35:17 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:35:17 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Enbridge Inc ENB latest news events' 成功，返回 6 条结果，耗时 1.12s
2026-03-24 05:35:17 | INFO     | src/search_service.py:1720 | [新闻过滤] ENB:Bocha:latest_news: provider=Bocha, total=6, kept=2, drop_unknown=0, drop_old=4, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:35:17 | INFO     | src/search_service.py:2012 | [情报搜索] 最新消息: 原始=6条, 过滤后=2条
2026-03-24 05:35:17 | INFO     | src/search_service.py:1995 | [情报搜索] 机构分析: 使用 Tavily
2026-03-24 05:35:22 | INFO     | src/search_service.py:299 | [Tavily] 搜索完成，query='Enbridge Inc analyst rating target price report', 返回 6 条结果
2026-03-24 05:35:22 | INFO     | src/search_service.py:237 | [Tavily] 搜索 'Enbridge Inc analyst rating target price report' 成功，返回 6 条结果，耗时 5.15s
2026-03-24 05:35:22 | INFO     | src/search_service.py:1720 | [新闻过滤] ENB:Tavily:market_analysis: provider=Tavily, total=6, kept=0, drop_unknown=6, drop_old=0, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:35:22 | INFO     | src/search_service.py:2012 | [情报搜索] 机构分析: 原始=6条, 过滤后=0条
2026-03-24 05:35:23 | INFO     | src/search_service.py:1995 | [情报搜索] 风险排查: 使用 Bocha
2026-03-24 05:35:24 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Enbridge Inc risk insider selling lawsuit litigation'
2026-03-24 05:35:24 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:35:24 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Enbridge Inc risk insider selling lawsuit litigation' 成功，返回 6 条结果，耗时 1.16s
2026-03-24 05:35:24 | INFO     | src/search_service.py:1720 | [新闻过滤] ENB:Bocha:risk_check: provider=Bocha, total=6, kept=0, drop_unknown=0, drop_old=6, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:35:24 | INFO     | src/search_service.py:2012 | [情报搜索] 风险排查: 原始=6条, 过滤后=0条
2026-03-24 05:35:24 | INFO     | src/search_service.py:1995 | [情报搜索] 业绩预期: 使用 Tavily
2026-03-24 05:35:26 | INFO     | src/search_service.py:299 | [Tavily] 搜索完成，query='Enbridge Inc earnings revenue profit growth forecast', 返回 6 条结果
2026-03-24 05:35:26 | INFO     | src/search_service.py:237 | [Tavily] 搜索 'Enbridge Inc earnings revenue profit growth forecast' 成功，返回 6 条结果，耗时 1.50s
2026-03-24 05:35:26 | INFO     | src/search_service.py:1720 | [新闻过滤] ENB:Tavily:earnings: provider=Tavily, total=6, kept=0, drop_unknown=6, drop_old=0, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:35:26 | INFO     | src/search_service.py:2012 | [情报搜索] 业绩预期: 原始=6条, 过滤后=0条
2026-03-24 05:35:26 | INFO     | src/search_service.py:1995 | [情报搜索] 行业分析: 使用 Bocha
2026-03-24 05:35:27 | INFO     | src/search_service.py:671 | [Bocha] 搜索完成，query='Enbridge Inc industry competitors market share outlook'
2026-03-24 05:35:27 | INFO     | src/search_service.py:695 | [Bocha] 成功解析 6 条结果
2026-03-24 05:35:27 | INFO     | src/search_service.py:237 | [Bocha] 搜索 'Enbridge Inc industry competitors market share outlook' 成功，返回 6 条结果，耗时 1.04s
2026-03-24 05:35:27 | INFO     | src/search_service.py:1720 | [新闻过滤] ENB:Bocha:industry: provider=Bocha, total=6, kept=2, drop_unknown=0, drop_old=4, drop_future=0, window=[2026-03-22,2026-03-25]
2026-03-24 05:35:27 | INFO     | src/search_service.py:2012 | [情报搜索] 行业分析: 原始=6条, 过滤后=2条
2026-03-24 05:35:28 | INFO     | src/core/pipeline.py:320 | Enbridge Inc(ENB) 情报搜索完成: 共 4 条结果
2026-03-24 05:35:28 | INFO     | src/storage.py:922 | 保存新闻情报成功: ENB, 新增 2 条
2026-03-24 05:35:28 | INFO     | src/storage.py:922 | 保存新闻情报成功: ENB, 新增 2 条
2026-03-24 05:35:30 | INFO     | src/analyzer.py:952 | ========== AI 分析 Enbridge Inc(ENB) ==========
2026-03-24 05:35:30 | INFO     | src/analyzer.py:953 | [LLM配置] 模型: gemini/gemini-3-flash-preview
2026-03-24 05:35:30 | INFO     | src/analyzer.py:954 | [LLM配置] Prompt 长度: 3479 字符
2026-03-24 05:35:30 | INFO     | src/analyzer.py:955 | [LLM配置] 是否包含新闻: 是
2026-03-24 05:35:30 | INFO     | src/analyzer.py:959 | [LLM Prompt 预览]
# 决策仪表盘分析请求

## 📊 股票基础信息
| 项目 | 数据 |
|------|------|
| 股票代码 | **ENB** |
| 股票名称 | **Enbridge Inc** |
| 分析日期 | 2026-03-24 |

---

## 📈 技术面数据

### 今日行情
| 指标 | 数值 |
|------|------|
| 收盘价 | 54.15999984741211 元 |
| 开盘价 | 52.849998474121094 元 |
| 最高价 | 54.244998931884766 元 |
| 最低价 | 52.5 元 |
| 涨跌幅 | 0.6% |
| 成交量 | 639.54 万股 |
| 成交额 | 3.46 亿元 |

### 均线系统（关键判断指标）
| 均线 | 数值 | 说明 |
|------|------|------|
| MA5 | 53.81800003051758 | 短期趋势线 |
| MA10 | 53.90300025939941 | 中短期趋势线 |
| MA20 | 53.7435001373291 | 中...
2026-03-24 05:35:30 | INFO     | src/analyzer.py:968 | [LLM调用] 开始调用 gemini/gemini-3-flash-preview...
2026-03-24 05:35:30 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/utils.py:3995 | 
LiteLLM completion() model= gemini-3-flash-preview; provider = gemini
2026-03-24 05:35:30 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/llms/vertex_ai/gemini/vertex_and_google_ai_studio_gemini.py:1009 | Warning: Setting temperature < 1.0 for Gemini 3 models (gemini-3-flash-preview) can cause infinite loops, degraded reasoning performance, and failure on complex tasks. Strongly recommended to use temperature = 1.0 (default).
2026-03-24 05:35:59 | INFO     | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/litellm/utils.py:1656 | Wrapper: Completed Call, calling success_handler
2026-03-24 05:35:59 | INFO     | src/analyzer.py:981 | [LLM返回] gemini/gemini-3-flash-preview 响应成功, 耗时 28.76s, 响应长度 3777 字符
2026-03-24 05:35:59 | INFO     | src/analyzer.py:985 | [LLM返回 预览]
```json
{
    "stock_name": "恩桥公司（ENB）",
    "sentiment_score": 52,
    "trend_prediction": "震荡",
    "operation_advice": "观望",
    "decision_type": "hold",
    "confidence_level": "中",

    "dashboard": {
        "core_conclusion": {
            "one_sentence": "均线缠绕未形成多头排列，价格虽站稳均线但动能不足，建议等待。",
   ...
2026-03-24 05:35:59 | INFO     | src/analyzer.py:1025 | [LLM解析] Enbridge Inc(ENB) 分析完成: 震荡, 评分 52
2026-03-24 05:35:59 | INFO     | src/core/pipeline.py:1051 | [ENB] 分析完成: 观望, 评分 52
2026-03-24 05:35:59 | INFO     | src/core/pipeline.py:1027 | ========== 开始处理 ADUS ==========
2026-03-24 05:35:59 | INFO     | src/core/pipeline.py:158 | 阿迪斯(ADUS) 开始从数据源获取数据...
2026-03-24 05:35:59 | INFO     | data_provider/base.py:758 | [数据源尝试 2/6] [YfinanceFetcher] 美股/美股指数 ADUS 直接路由...
2026-03-24 05:35:59 | INFO     | data_provider/base.py:357 | [YfinanceFetcher] 开始获取 ADUS 日线数据: 范围=2026-01-23 ~ 2026-03-24
2026-03-24 05:35:59 | INFO     | data_provider/base.py:376 | [YfinanceFetcher] ADUS 获取成功: 范围=2026-01-23 ~ 2026-03-24, rows=41, elapsed=0.12s
2026-03-24 05:35:59 | INFO     | data_provider/base.py:770 | [数据源完成] ADUS 使用 [YfinanceFetcher] 获取成功: rows=41, elapsed=0.12s
2026-03-24 05:35:59 | INFO     | src/storage.py:1387 | 保存 ADUS 数据成功，新增 41 条
2026-03-24 05:35:59 | INFO     | src/core/pipeline.py:166 | 阿迪斯(ADUS) 数据保存成功（来源: YfinanceFetcher，新增 41 条）
